time, count
11692,11
11693,9
11694,10
11695,6
11696,9
11697,15
11698,10
11699,13
11700,8
11701,17
11702,10
11703,19
11704,7
11705,6
11706,18
11707,6
11708,8
11709,8
11710,10
11711,11
11712,10
11713,12
11714,17
11715,12
11717,22
11718,14
11720,20
11721,22
11724,4
11725,17
11727,21
11728,16
11730,14
11731,17
11733,14
11734,14
11735,12
11736,5
11737,9
11738,9
11739,11
11740,11
11741,8
11742,4
11743,10
11744,10
11745,11
11746,8
11747,9
11748,11
11749,8
11750,7
11751,8
11752,10
11753,11
11754,8
11755,11
11756,15
11757,5
11758,9
11759,9
11760,11
11761,7
11762,10
11763,11
11764,6
11765,9
11766,12
11767,12
11768,10
11769,2
11770,19
11771,12
11772,1
11773,19
11774,16
11776,6
11777,8
11779,15
11780,18
11782,13
11783,13
11784,10
11785,11
11786,8
11787,15
11788,6
11789,13
11790,14
11791,5
11792,7
11793,10
11794,16
11795,13
11796,13
11797,14
11798,1
11799,22
11800,7
11802,3
11803,17
11805,15
11806,12
11808,18
11809,8
11811,19
11812,10
11813,1
11814,15
11815,15
11817,6
11818,15
11819,15
11820,2
11821,13
11822,11
11823,1
11824,13
11825,12
11826,13
11827,2
11828,11
11829,14
11830,5
11831,11
11832,15
11834,5
11835,11
11836,16
11837,11
11838,6
11839,8
11840,9
11841,8
11842,12
11843,12
11844,10
11845,8
11846,5
11847,7
11848,18
11849,11
11850,1
11851,12
11852,11
11853,11
11854,9
11855,10
11856,9
11857,10
11858,10
11859,8
11860,15
11861,5
11862,6
11863,11
11864,9
11865,10
11866,10
11867,8
11868,9
11869,12
11870,9
11871,11
11872,12
11873,12
11874,7
11875,11
11876,10
11877,7
11878,12
11879,10
11880,9
11881,15
11882,13
11883,1
11884,15
11885,17
11887,13
11888,16
11890,17
11891,15
11893,13
11894,17
11896,15
11897,11
11899,7
11900,5
11901,6
11902,13
11903,16
11904,2
11905,13
11906,16
11907,1
11908,9
11909,12
11910,7
11911,10
11912,12
11913,5
11914,6
11915,13
11916,10
11917,7
11918,13
11919,7
11920,11
11921,6
11922,13
11923,6
11924,12
11925,18
11926,1
11927,11
11928,15
11929,16
11930,2
11931,17
11932,15
11934,12
11935,7
11936,14
11937,10
11938,13
11939,15
11941,15
11942,13
11943,14
11944,13
11946,13
11947,20
11948,9
11950,10
11951,14
11952,11
11953,11
11954,13
11955,10
11956,10
11957,9
11958,9
11959,13
11960,9
11961,9
11962,10
11963,10
11964,11
11965,7
11966,8
11967,14
11968,13
11969,4
11970,4
11971,5
11972,12
11973,11
11974,9
11975,15
11976,9
11977,9
11978,13
11979,12
11980,10
11981,4
11982,10
11983,12
11984,6
11985,10
11986,12
11987,13
11988,6
11989,5
11990,9
11991,4
11992,10
11993,12
11994,13
11995,17
11996,1
11997,20
11999,1
12000,18
12001,1
12003,25
12004,9
12006,18
12007,9
12009,18
12010,19
12012,14
12013,15
12014,13
12015,16
12016,16
12017,4
12018,13
12019,17
12020,1
12021,12
12022,19
12023,8
12024,1
12025,17
12026,13
12028,21
12029,9
12031,15
12032,3
12034,21
12035,15
12036,1
12037,10
12038,7
12039,13
12040,13
12041,11
12042,17
12043,8
12044,5
12045,3
12046,15
12047,13
12048,3
12049,5
12050,9
12051,7
12052,11
12053,7
12054,10
12055,11
12056,6
12057,9
12058,15
12059,13
12060,7
12061,5
12062,4
12063,10
12064,11
12065,7
12066,6
12067,8
12068,11
12069,10
12070,12
12071,9
12072,8
12073,6
12074,8
12075,10
12076,9
12077,12
12078,6
12079,8
12080,5
12081,6
12082,8
12083,4
12084,3
12085,13
12086,10
12087,11
12088,5
12089,11
12090,11
12091,8
12092,11
12093,5
12094,9
12095,9
12096,10
12097,8
12098,13
12099,9
12100,12
12101,7
12102,10
12103,10
12104,11
12105,8
12106,9
12107,6
12108,15
12109,8
12110,5
12111,9
12112,16
12113,7
12114,7
12115,12
12116,9
12117,8
12118,17
12119,13
12120,1
12121,14
12122,6
12123,16
12124,11
12126,11
12127,15
12128,8
12129,7
12130,11
12131,6
12132,11
12133,11
12134,15
12135,10
12136,10
12137,13
12138,10
12140,3
12141,14
12143,22
12144,14
12146,19
12147,12
12149,21
12150,9
12152,26
12153,14
12155,22
12156,15
12158,13
12159,18
12160,11
12162,17
12163,14
12165,14
12166,17
12167,12
12169,13
12170,15
12172,14
12173,11
12174,14
12175,7
12176,8
12177,8
12178,19
12180,23
12181,7
12182,1
12183,7
12184,25
12187,30
12190,30
12193,25
12196,29
12199,22
12200,15
12202,14
12203,11
12205,22
12206,10
12207,1
12208,1
12209,14
12210,15
12211,4
12212,17
12213,12
12215,11
12216,12
12217,12
12218,8
12219,13
12220,13
12221,11
12222,2
12223,12
12224,15
12225,10
12226,8
12227,11
12228,13
12229,12
12230,7
12231,12
12232,10
12233,10
12234,14
12235,11
12236,17
12237,9
12238,7
12239,6
12240,6
12241,18
12242,10
12243,9
12244,12
12245,8
12246,9
12247,11
12248,16
12249,12
12250,16
12251,1
12252,14
12253,13
12254,1
12255,9
12256,9
12257,3
12258,2
12259,13
12262,14
12263,14
12264,13
12266,14
12267,18
12269,13
12270,21
12271,6
12272,12
12273,11
12274,14
12275,6
12276,17
12277,11
12278,10
12279,9
12280,11
